student_id,term_id,first_name,last_name,credits_earned,date_of_birth,student_employee,gpa,major
846369,2221,Osbert,Fearnehough,7,12/26/98,0,2.38,Integrative Physiology-Con Deg
455369,2221,Benny,Rollett,82,1/5/98,0,2.21,Pharmacy
267447,2221,Ferris,Vedenichev,76,4/15/02,0,3.61,Landscape Architecture
333282,2221,Carolynn,Habergham,34,8/3/01,1,4,Design Studies
111967,2221,Whitby,Cattlow,142,12/24/03,1,2.88,Engineering - Undetermined
591204,2221,Nonna,Ather,33,3/4/01,1,3.27,Jour Mass Comm - Open Option
524758,2221,Maire,Terbeck,31,8/8/99,0,3.19,"Electrical Engr, Concur Degree"
796743,2221,Greer,Adamthwaite,77,2/15/03,0,3.32,Religious Studies
454822,2221,Ado,Collen,22,2/14/01,0,4,Eng Physics/Physics Concur Deg
965494,2221,Page,Grinter,29,7/27/98,1,2.52,Humanities
903604,2221,Gerianne,McKiddin,56,5/16/03,0,3.86,English
308656,2221,Lucien,FitzGibbon,30,2/2/01,0,4,Mathematics
494043,2221,Gladi,Chaplyn,47,12/1/01,0,3.83,"Architectural Engr, C/Degree"
708117,2221,Washington,Grimsley,89,3/27/99,0,2.8,"Linguistics, Concurrent Degree"
809492,2221,Niven,Duer,123,10/9/03,0,3.12,Philosophy
628317,2221,Scarlett,McGilmartin,41,2/6/98,0,4,Computer Science & Business
691241,2221,Bertina,Mayhou,90,2/5/98,0,3.77,"Computer Sci, Concurrent Degr"
923255,2221,Emmye,Rois,89,9/30/99,1,2.21,Teacher Education Elementary
557470,2221,Normie,Elphee,131,8/26/01,0,3.66,"Biological Sci-EPO,Concur Deg"
104528,2221,Gwenny,D'Elia,2,12/31/00,1,3.97,Biological Sciences-EPO
356063,2221,Aurelea,Liebrecht,88,4/24/00,0,4,"Linguistics, Concurrent Degree"
271306,2221,Birdie,Jurkiewicz,140,1/31/99,0,4,Accounting
133521,2221,Rishi,Patil,105,9/14/01,1,4,"Aerospace Engr Sci, Concur Deg"
986002,2221,Jaimie,Kemmish,122,12/1/00,1,4,Political Science
773668,2221,Malorie,Espinas,90,10/21/03,0,3.11,Woodwind Performance
746677,2221,Arnaldo,Goodlip,35,2/13/00,0,2.69,"Aerospace Engr Sci, Concur Deg"
224429,2221,Vivian,Perrin,5,10/9/01,0,2.27,Women and Gender Studies
997729,2221,Ben,Passmore,10,8/10/99,0,4,Latin American Studies
717039,2221,Roseann,Lidden,30,5/13/98,0,3.56,Environmental Design & Bus
809678,2221,Parsifal,Macquire,88,9/21/02,0,2.18,"Elec & Comp Engr, Concurr Deg"
769593,2221,Hinze,Lamperti,18,5/14/00,1,4,Chemical & Biological Engin
867623,2221,Marga,Popham,81,4/21/98,0,2.6,Mechanical Engineering
768882,2221,Glenn,Petrovic,122,3/16/04,0,3.48,Humanities Concurr Deg
128467,2221,Seo-Hyeon,Nagasawa,20,9/7/99,0,2.16,Mechanical Engineering
631631,2221,Abbie,Joscelin,118,11/11/01,0,3.87,Composition
208113,2221,Rubin,Ashplant,104,9/28/03,0,2.75,Information Science
948790,2221,Madonna,Butter,120,3/30/00,0,3.35,Engineering Phys & Business
181129,2221,Margaretta,Beddoe,22,7/16/01,0,4,Individually Structured
539289,2221,Antonietta,Edden,141,2/26/03,0,2.57,Music - Undetermined
328197,2221,Giorgio,Baskeyfied,53,3/20/03,0,3.37,Jewish Studies
163232,2221,Reinhard,Niven,17,11/14/99,0,4,Chemistry
900033,2221,Felizio,Abramzon,102,6/10/02,1,4,"Electrical Engr, Concur Degree"
314564,2221,Brandea,Riguard,63,8/22/00,0,3.18,Elementary Education
195880,2221,Kavi,Choudhary,135,3/26/04,0,3.37,Journalism - Open Option
265354,2221,Dorotea,Macak,108,10/18/03,0,2.77,Statistics and Data Science
563922,2221,Mellicent,Cussons,85,10/6/99,0,3.87,"Speech,Lang,Hearing Sciences"
583549,2221,Tu,Deng,23,3/27/00,0,4,Management
442460,2221,Ashok,Choi,58,4/14/01,0,3.97,Theatre
849568,2221,Annice,Essex,130,10/15/98,1,4,String Performance
528084,2221,Katinka,Dimanche,111,1/1/02,0,3.36,Musicology
981668,2221,Richie,Kingshott,95,7/24/02,0,2.14,Ecology & Evolutionary Biology
500179,2221,Buckie,Rheam,127,2/3/02,0,4,"Systems, Concurrent Degree"
562830,2221,Kenton,Earney,84,4/1/03,0,3.84,Media Production
740772,2221,Sheila,Inmett,107,4/9/01,0,2.62,Envir/Civ Engineering Conc Deg
926926,2221,Airi,Jung,35,3/17/98,0,2.62,Ecol & Evolution Bio-Con Deg
922814,2221,Brice,Lukovic,90,3/12/01,0,3.61,Chinese - Concurrent Degree
786812,2221,Gusty,Joselovitch,109,9/30/02,0,4,Information Systems
308016,2221,Ashlan,Fer,80,10/13/98,0,3.71,Computer Science Applications
790171,2221,Philis,Morriss,41,1/8/03,0,4,Kinesiology
726863,2221,Clementine,Domb,74,2/4/02,0,3.8,Linguistics
748364,2221,Merridie,Burnhard,98,4/18/98,0,3.44,Chinese - Concurrent Degree
513225,2221,Lily,Savill,49,7/20/01,0,2.7,Civil Engineering
800910,2221,Aarika,Frossell,85,12/5/03,0,4,Fine Arts - Art History
923457,2221,Gherardo,Bier,73,6/20/02,1,3.58,Ethnic Studies
545056,2221,Carlen,Milch,59,4/3/98,0,1.77,Elementary Education
729552,2221,Cherish,Aitcheson,139,12/3/03,0,4,"Economics, Concurrent Degree"
545860,2221,Rochell,Meeron,64,11/18/03,1,2.43,Media Studies
905143,2221,Gisela,Malsher,140,7/4/00,1,3.46,Provisional Admit
368367,2221,Michel,Scallon,47,2/22/02,0,3.33,Chemical & Biological Engr
406399,2221,Clarice,Lasslett,7,1/9/99,0,2.17,Electrical Engineering & Mus
313891,2221,Darby,Allard,117,4/30/04,0,4,Business Analytics
766475,2221,Kip,Lealle,74,1/25/03,0,3.63,Chemistry
177478,2221,Weider,Lyster,18,9/11/03,0,4,English
618885,2221,Serge,Fermin,123,1/20/04,0,4,Chem & Biol Engr Concur Deg
809812,2221,Ray,Ruxton,53,10/6/02,0,4,Computer Science & Business
698605,2221,Dominique,Kyndred,95,2/6/99,1,3.83,Mechanical Engineering & Bus
132005,2221,Pate,Haswall,55,1/1/01,1,3.15,Elec Engr & Computer Sci
789476,2221,Carlyle,Prujean,119,9/24/98,0,2.41,Public Relations & Business
130613,2221,Pauly,Beaston,23,12/18/00,1,3.59,Architect Engr & Bus
184669,2221,Evaleen,Venn,77,8/1/98,0,2.79,Music Education
610331,2221,Portie,Le Grys,117,9/1/00,1,3.75,Organization Management
672546,2221,Toma,Planks,133,5/2/98,0,2.99,Open Option
287254,2221,Caterina,Bullas,137,10/2/00,0,3.92,Religious Studies
816337,2221,Rafaellle,Audas,84,11/12/00,0,4,Fine Arts - Art History
814661,2221,Hui,Gao,85,2/20/01,0,2.46,Public Agency Administration
233769,2221,Vivienne,Tittershill,85,9/29/99,0,1.39,Applied Mathematics
295972,2221,Atlanta,Fretter,138,5/5/00,0,2.61,Music & Business
930404,2221,Tally,Grunson,15,11/11/03,0,4,Teacher Education Elementary
437005,2221,Olwen,Beveredge,135,9/14/99,0,2.15,Religious Studies
129095,2221,Glen,Sollom,13,11/30/98,0,4,General Engineering
197853,2221,Odelle,Meni,136,6/14/99,0,4,English
741056,2221,Kaylil,Fozzard,116,10/14/99,0,4,Piano Performance
821625,2221,Ellswerth,Bromidge,117,10/24/02,0,4,Architectural Engineering
770739,2221,Theo,Comben,118,10/24/01,0,2.93,Interdisciplinary Studies
525324,2221,Dru,McQuilliam,83,10/15/00,0,1.38,"German Studies, Concur Degr"
358840,2221,Nannie,Kenaway,66,5/21/98,0,4,Transport/Distribution Mgt
650800,2221,Walton,Abreheart,7,2/12/01,0,4,"Applied Math, Concurr Degree"
394816,2221,Anabel,Coraini,35,6/16/99,1,2.28,Music
286256,2221,Erma,Brownstein,16,8/19/01,0,4,Biological Sciences-EPO
828109,2221,Lin,O'Donegan,82,11/8/99,0,3.6,Transport/Distribution Mgt
877525,2221,Portia,McCaughey,111,12/13/03,0,2.35,"Information Systems, Conc Degr"
508073,2221,Karil,Birkmyr,126,2/27/02,0,2.9,"Information Systems, Conc Degr"
861092,2221,Jigjit,Mishra,18,2/17/98,1,2.67,Brass/Percussion Performance
531287,2221,Hugh,Kunze,55,5/12/03,1,2,African & Middle East Studies
742006,2221,Virgil,McPaik,105,5/16/03,0,1.95,Media Studies
597355,2221,Yin,Pham,107,3/7/03,0,3.04,News - Editorial & Business
341519,2221,Gavra,Hopkyns,113,3/15/03,0,4,African & Middle East Studies
672547,2221,Armin,Galle,9,2/21/00,0,2.77,Communication
507062,2221,Juditha,Callington,131,3/28/02,0,1.28,Elec Engr & Computer Sci
352952,2221,Liv,Huntingdon,62,5/9/99,0,4,Biochemistry
746170,2221,Kleon,Narramore,53,4/28/01,1,4,Systems
884147,2221,Lory,Beeres,70,3/4/04,1,4,Public Relations & Business
419302,2221,Austin,Lomb,83,7/25/00,0,3.65,Classical Antiquity
672279,2221,Belinda,Tyas,88,6/20/99,0,4,Mathematics
912666,2221,Tiffie,Malimoe,98,8/3/02,0,3.1,Jewish Studies
517050,2221,Katy,Avory,87,12/26/03,0,4,Engineering Plus
396506,2221,Aristotle,McCerery,93,2/1/98,1,2.18,Mechanical Engineering & Bus
673310,2221,Connor,Stoll,63,5/20/02,0,4,Biology
340243,2221,Petronella,MacGovern,97,5/20/98,0,3.13,Spanish
180926,2221,Maison,D'eathe,69,9/13/00,0,2.89,"Civil Engr, Concurrent Degree"
252984,2221,Case,Pundy,39,9/30/01,0,2.77,Pre-Business
723575,2221,Delmore,Clementucci,6,2/26/03,0,4,Piano Performance
503392,2221,Emelyne,Buggs,139,2/16/02,0,4,Accounting-Concurrent Degree
981405,2221,Carree,Benzi,102,1/26/01,0,3.7,Public Relations & Business
407867,2221,Lennie,Burdytt,93,1/11/04,0,3.61,Biological Sciences-MCD
572631,2221,Ddene,Klicher,23,2/11/00,1,4,Finance-Concurrent Degree
100924,2221,Munmro,Shuxsmith,109,8/4/02,0,2.63,Classical Antiquity
228815,2221,Lyndy,Trustrie,25,9/26/01,0,2.83,Distributed Studies
704403,2221,Jordan,Steed,81,1/9/04,1,4,Pre-Journalism & Mass Comm
281850,2221,Shelia,Seldner,141,9/2/03,0,4,Linguistics
281850,2221,Shelia,Seldner,141,9/2/03,0,4,French
744081,2221,Koenraad,Loyley,3,12/15/99,0,3.1,Jour Mass Comm - Open Option
782821,2221,Jefferson,De Hailes,70,2/9/03,0,3.72,Electrical & Comp Engineering
867342,2221,Ashli,Hillock,63,10/22/01,0,4,Pre-Business
282075,2221,Sankar,Gadhavi,114,9/13/98,0,4,Woodwind Performance
605201,2221,Leone,Yewdall,65,12/1/01,0,1.93,Central & East European Stdy
274958,2221,Dory,Danilchenko,82,2/8/03,1,4,Leadership/CommunityEngagement
473651,2221,Umeko,Kenealy,124,7/1/03,0,4,Office Administration
492857,2221,Marissa,Thistleton,34,7/19/03,0,4,Piano Performance
626402,2221,Goober,Beckles,110,5/7/01,0,2.74,Environmental Design & Bus
305740,2221,Matias,De Moreno,60,9/12/03,0,2.88,Pre-Geology
848689,2221,Ferne,Kirckman,99,1/30/00,0,3.23,Music - Undetermined
979306,2221,Fernando,Ditch,12,11/23/02,1,2.23,News - Editorial
758563,2221,Huan,Hashimoto,1,5/12/03,0,3.53,Leadership/CommunityEngagement
615684,2221,Katya,Peter,85,2/2/03,0,2.62,Systems
807871,2221,Oralie,Nannini,98,8/6/99,0,4,French
303774,2221,Albina,Beagles,82,5/5/02,0,2.89,Envir/Civ Engineering Conc Deg
853715,2221,Emyle,Howkins,8,4/21/01,0,3.22,Organ Performance
599095,2221,Moria,Betts,66,6/29/02,0,2.52,Environmental Design & Bus
354935,2221,Alvy,Ziemens,136,9/1/03,0,4,Environmental Design
825361,2221,Ulrikaumeko,Pedroli,43,5/26/01,1,4,Advertising & Business
590688,2221,Alyss,Ackwood,139,10/25/99,0,4,Geography
590688,2221,Alyss,Ackwood,139,10/25/99,0,4,"Physics, Concurrent Degree"
107719,2221,Matthus,Filyashin,5,3/7/98,0,4,Public Relations
501682,2221,Eadie,Regorz,70,10/10/98,0,3.65,"German Studies, Concur Degr"
510845,2221,Prakash,Kuroda,110,5/28/04,1,4,Performance
909829,2221,Maje,Phippen,66,7/26/01,0,2.67,Latin
416077,2221,Anant,Rao,128,11/10/00,0,3.81,Business - Undetermined
982674,2221,Romola,Merill,94,1/30/03,1,3.58,Elementary Education
820682,2221,Chantal,Vaadeland,33,10/10/03,0,4,Business - Undetermined
106361,2221,Krystalle,Deplacido,79,3/4/03,0,4,Music - Undetermined
721776,2221,Krispin,Simenel,61,5/26/99,1,3.46,Cinema Studies
265877,2221,Deborah,MacRory,135,12/24/99,0,3.62,Real Estate
436476,2221,Hamil,Niese,141,3/27/99,1,4,"Biological Sci-EPO,Concur Deg"
202439,2221,Ellary,Sanford,45,4/25/98,0,2.99,Chemical Engineering & Bus
224980,2221,Averil,Stapleton,119,6/2/01,1,3.47,Environmental Prod of Design
886234,2221,Bev,Topping,122,3/30/99,0,2.05,Engineering Phys & Business
123891,2221,Ker,Farndale,39,11/1/99,0,3.08,Engineering Physics
689046,2221,Monti,Woltman,98,7/16/99,0,3.4,Accounting-Concurrent Degree
603966,2221,Amata,Morley,54,12/28/00,1,4,Ecology & Evolutionary Biology
514040,2221,Brandon,Heijne,48,5/25/99,1,2.72,Engineering - Undetermined
857882,2221,Cordell,Bolger,110,9/14/01,0,2.01,Computer Science
364520,2221,Jordain,Close,16,10/5/00,0,2.26,Statistics and Data Science
193802,2221,Aleece,Shinton,27,10/10/98,0,4,Music Education
670039,2221,Tarra,McPhelimey,79,6/26/02,0,3.45,Engineering Plus
465602,2221,Trace,Casewell,18,7/28/02,0,1.2,Theory
267323,2221,Toddy,Gladdor,84,1/8/02,0,2.61,Media Studies
830143,2221,Cymbre,Almak,132,7/26/00,0,4,Environmental Prod of Design
460913,2221,Lilah,Bakesef,87,5/4/00,0,1.38,Art History
450147,2221,Ben,Valenta,142,1/13/02,0,3.71,American Studies
749956,2221,Georgiana,Sloyan,72,7/3/99,1,4,Fine Arts - Art History
870993,2221,Ulrich,Putten,5,6/16/03,0,2.04,Neuroscience
107376,2221,Jenica,Cone,31,10/9/98,0,3.69,Operation Mgmt Info Systems
688963,2221,Jean,Montier,96,10/31/02,0,4,Office Administration
199559,2221,Chicky,Gitthouse,55,1/10/98,0,3.28,Interdisciplinary Studies
747456,2221,Yancy,Fedorski,59,10/13/02,0,3.58,Applied Computer Science
540080,2221,Carlynn,Notman,85,9/30/99,1,4,Broadcast News & Business
267871,2221,Seamus,MacAlpin,94,1/13/02,0,2.07,Music Education
535955,2221,Amberly,Spencelayh,63,4/26/00,0,4,Undergrad Initial Statistics
781955,2221,Florida,Von Helmholtz,60,7/9/03,0,2.68,Pharmacy
260974,2221,Gradeigh,Milleton,37,3/23/01,0,2.25,History
606658,2221,Novelia,Purkis,126,8/14/02,0,4,Piano Performance
806300,2221,Margalit,Dietmar,63,4/10/98,0,4,Design Studies
557260,2221,Davon,Tilliard,115,12/10/02,0,3.53,Public Relations
100566,2221,Charis,Jubert,23,2/21/03,0,3.99,Environmental Design & Bus
655584,2221,Regine,Lackinton,23,9/9/01,0,2.08,Creative Technology and Design
842280,2221,Prabodh,Sharma,135,2/26/02,0,2.35,Atmospheric & Oceanic Sciences
936022,2221,Whit,Prise,33,4/13/01,0,3.98,Environmental Design & Bus
844991,2221,Midge,Glover,132,4/1/01,0,2.68,Religious Studies Concurr Deg
342632,2221,Leshia,Buncombe,22,2/23/01,0,2.58,Sustainable Planning & Design
961655,2221,Mikaela,Dany,123,1/31/04,0,3.57,Theatre
862127,2221,Vivyan,Le Strange,49,3/14/99,0,3.27,"Mechanical Engr, Concur Degree"
942350,2221,Godard,Librey,138,8/18/03,0,4,Journalism - Open Option
595761,2221,Gamaliel,Kennally,134,6/1/02,0,3.41,Individually Structured
373538,2221,Buddie,Bristowe,80,1/17/02,0,2.61,"Economics, Concurrent Degree"
750028,2221,Winne,Stredder,7,2/19/02,0,4,Broadcast Prod Mgt & Bus
662750,2221,Nero,Vatcher,80,5/27/02,0,2.02,Aerospace Engineering & Bus
677221,2221,Dorine,Whittuck,36,9/23/98,0,3.49,Information Science
671169,2221,Niles,Battison,82,11/24/99,0,2.22,Personnel-Human Resources Mgt
189139,2221,Batsheva,Rowledge,5,9/22/03,0,4,Biomedical Engineering
161195,2221,Kitty,Fowls,97,12/2/02,0,2.5,Eng Physics/Physics Concur Deg
199688,2221,Clarice,Nend,17,5/8/03,1,2.06,"Mechanical Engr, Concur Degree"
407606,2221,Brody,Kinneir,101,3/2/00,0,2.34,Pharmacy
673402,2221,Gunilla,Kelk,0,2/7/01,0,0,Organization Management
500756,2221,Katrine,Fulcher,41,10/21/00,1,3.97,Asian Studies
692520,2221,Graehme,Bunkle,31,4/20/99,0,2.28,"Physics, Concurrent Degree"
861684,2221,Sydney,Colmore,138,3/23/03,0,3.75,News - Editorial & Business
283759,2221,Wandis,Normanton,91,4/12/01,0,4,Pre-Journalism & Mass Comm
811156,2221,Jarrett,Arents,107,12/20/99,1,3.96,Landscape Architecture
754688,2221,Eward,Greatbach,47,7/22/01,0,3.42,"Systems, Concurrent Degree"
800916,2221,Jagannath,Kumar,60,8/30/98,1,4,Environmental Engineering
934395,2221,Indira,Ascough,93,10/9/01,1,4,Civil Engineering & Business
836340,2221,Kelcie,Poser,129,12/12/01,0,2.63,Business - Open Option
309706,2221,Norine,Franies,40,11/19/03,0,2.42,Linguistics
241328,2221,Pammie,Looney,120,12/20/03,0,4,Astronomy
429580,2221,Jill,Tinsey,4,2/20/02,0,3.59,Chemistry
452889,2221,Armando,Rainer,138,12/30/00,0,3.89,Humanities Concurr Deg
955910,2221,Borden,Ellit,126,5/5/04,0,3.53,Atmospheric & Oceanic Sciences
476973,2221,Tobiah,Dunstone,18,1/25/04,0,2.75,Physics
101527,2221,Mattheus,Hurlin,44,6/9/99,1,3.13,Dance
893671,2221,Reginauld,Deeney,97,7/26/03,0,3.94,Pre-Business
258545,2221,Gill,Robken,122,8/27/00,0,4,Humanities Concurr Deg
276702,2221,Reiko,Richardon,99,7/23/00,0,4,Electrical Engineering
962336,2221,Mariel,Brian,25,11/23/99,0,2.31,Physics
817334,2221,Korrie,Lidgey,84,7/24/02,0,2.06,Pharmacy
602747,2221,Luci,Golton,132,7/10/98,1,2.96,Integrative Physiology-Con Deg
912298,2221,Drake,Matchitt,38,2/16/99,0,4,Anthropology
613804,2221,Wake,Crinidge,92,3/7/02,0,4,Film Studies Concurr Degree
889227,2221,Eveline,Speaks,70,9/21/01,0,4,Biological Sciences-MCD
356596,2221,Sandye,Hurst,65,12/27/99,0,4,Broadcast Production
496495,2221,Gilly,Gulston,8,7/12/01,0,3.78,A&S - Open Option
518860,2221,Sylvan,Lankham,34,3/13/02,0,2.98,Ethnic Studies
224848,2221,Yetta,Joao,76,1/31/01,1,0.02,Spanish
712902,2221,Flinn,Janas,82,4/9/98,0,4,Operation Mgmt Info Systems
712971,2221,Care,Harry,66,1/4/98,0,4,"Chemical Engr, Concurrent Degr"
642561,2221,Danya,McKeurton,77,9/16/03,0,2.12,Linguistics
389492,2221,Gothart,Greenstead,88,3/7/98,0,2.97,Broadcast Prod Mgt & Bus
424954,2221,Glen,Fishwick,15,1/18/00,0,3.36,Central & East European Stdy
228944,2221,Leonelle,Surridge,20,4/25/02,1,2.05,Advertising & Business
946527,2221,Garey,Hargerie,69,8/20/03,0,4,English
637518,2221,Stanley,Dyshart,45,2/10/98,0,4,Exploratory Studies
222906,2221,Doralynne,Elliff,5,2/19/03,1,3.33,Exploratory Studies
995136,2221,Avrit,Edgington,25,1/3/98,0,3.19,Jewish Studies
985352,2221,Imogene,Moysey,81,11/4/99,0,4,Provisional Admit
341768,2221,Locke,Hasley,18,10/20/03,0,2.91,Design Studies
975532,2221,Nobie,Dankersley,3,4/28/03,1,2.14,Broadcast Production
410631,2221,Sebastian,Bennoe,74,9/21/02,0,2.88,"Electrical Engr, Concur Degree"
859443,2221,Inna,Tremoulet,140,7/28/98,0,3.88,Pre-Economics
384628,2221,Michail,Enzley,112,3/14/01,0,3.78,Neuroscience
384628,2221,Michail,Enzley,112,3/14/01,0,3.78,Biology
886544,2221,Kassandra,Wilcox,114,11/22/01,0,2.76,Electrical Engineering
360377,2221,Barnabe,Da Costa,19,5/9/04,0,4,Advertising & Business
497777,2221,Emma,Howie,117,1/26/01,0,2.53,Public Relations & Business
315688,2221,David,Korlat,134,6/23/02,0,2.29,Russian Studies
826757,2221,Xena,Asquith,124,3/31/99,0,4,Chem & Biol Engr Concur Deg
713087,2221,Nathan,Semken,129,8/20/00,0,3.12,"Biological Sci-EPO,Concur Deg"
986618,2221,Burgess,Strudwick,44,9/3/02,0,4,Engineering Open Option
135668,2221,Shayne,Rekes,78,8/29/98,0,2.49,Atmospheric & Oceanic Sciences
843925,2221,Jazmin,Boncoeur,18,10/13/01,1,2.28,Environmental Conservation
894730,2221,Whitby,Perett,41,1/30/98,0,4,Landscape Architecture
477775,2221,Gaultiero,Longo,7,9/22/00,0,2.56,Woodwind Performance
137322,2221,Denise,Vannah,69,3/1/01,0,4,Design Studies
173858,2221,Elisha,Peeter,18,4/25/03,0,2.48,Physics
530502,2221,Sonja,Penylton,107,2/21/04,0,2.01,Classical Antiquity
276725,2221,Camellia,Keyzman,59,11/10/99,0,2.53,Ecology & Evolutionary Biology
233770,2221,Chantal,Hrus,45,10/7/02,0,3.99,Entreparneurship/Small Bus Mgt
503869,2221,Hardy,Hodgets,12,3/21/99,1,2.99,Jazz Piano Performance
917002,2221,Jessy,Santo,7,3/18/98,0,3.03,Jazz Piano Performance
358134,2221,Kellia,Nasi,89,11/19/99,0,2.07,Kinesiology
869822,2221,Gwynne,Sheringham,36,10/15/98,0,2.54,"Mathematics, Concurrent Degree"
844228,2221,Page,Golton,99,6/1/01,0,3.8,Pre-Business
103215,2221,Corri,Rieger,2,9/14/03,0,3.9,Ecol & Evolution Bio-Con Deg
193819,2221,Brnaba,Kibbel,116,7/7/02,0,2.25,Jazz Piano Performance
628184,2221,Melloney,Scourfield,71,12/28/98,0,4,Jazz Studies
145648,2221,Inderjeet,Kulkarni,86,12/15/03,0,3.99,Music - Undeclared
101199,2221,Lothaire,Billham,14,3/17/03,0,2.06,Small Bus Mgt & Entrprnship
166738,2221,Kassi,Finnan,31,10/2/01,0,4,Organ Performance
377016,2221,Sidonnie,Barney,135,2/6/98,0,3.49,Music Education
503940,2221,Adaline,Catto,66,8/6/98,0,3.77,Music - Arts
308946,2221,Augy,Leverson,83,11/11/03,0,2.79,"Architectural Engr, C/Degree"
827556,2221,Ainsley,Harby,43,9/4/00,1,2.14,Performance
916040,2221,Jorry,Kneel,123,2/6/98,0,4,Piano Performance
276665,2221,Thelma,Penhalewick,52,8/20/02,0,2.29,Environmental Prod of Design
952050,2221,Louisette,Pharoah,87,4/19/00,0,4,Pre-Economics
930719,2221,Giffer,Trevains,32,6/20/98,0,2.9,Distributed Studies
794240,2221,Viashnavi,Anand,87,1/1/01,0,2.46,Management
996033,2221,Thain,Norledge,70,3/29/02,1,3.32,Ethnic Studies
960537,2221,Alic,Thornthwaite,112,6/6/98,0,3.5,Transport/Distribution Mgt
450488,2221,Timmie,Hurtic,66,12/29/98,0,3.01,Pre-Geology
852693,2221,Frank,Kestin,38,5/5/03,0,4,Psychology
860087,2221,Truda,Elders,114,1/22/01,0,3.11,Fine Arts - Studio Arts
736045,2221,Mitzi,Moscon,137,1/1/02,0,4,Fine Arts - Studio Arts
787251,2221,Vlad,Sprason,94,10/8/98,1,2.82,Jazz Piano Performance
444943,2221,Chastity,Horsfield,6,5/15/98,0,2.67,"Mechanical Engr, Concur Degree"
697313,2221,Dori,Sergent,114,2/3/02,0,3.1,Information Science
742660,2221,Selena,Haseley,31,9/29/00,0,2.06,Chemical & Biological Engr
601291,2221,Rozanne,Althrope,139,9/18/01,0,4,Personnel-Human Resources Mgt
421870,2221,Kort,Boecke,46,10/1/00,0,2.67,Aerospace Engineering Sciences
295209,2221,Garret,Turbefield,10,7/10/01,0,4,Journalism - Undetermined
675753,2221,Clem,Cowdroy,129,11/4/02,1,3.75,Open Option
457305,2221,Kelley,Wand,104,2/22/02,0,3.61,German Studies
200845,2221,Leigh,Gutcher,19,5/7/03,0,4,Business Analytics
726436,2221,Kort,Huton,104,7/27/02,0,2.1,Brass/Percussion Performance
468510,2221,Olivero,Furmenger,84,1/3/00,1,4,Architectural Engineering
286263,2221,Antoni,Tydd,112,4/20/04,0,2.35,Environmental Engineering
446277,2221,Binh,Tran,55,1/14/00,0,3.52,Leadership/CommunityEngagement
